,Climate,Operation,TSV,Clo,Met,Ta,Tr,RH,Vel,PMV,PPD
50203,Csb,Naturally Ventilated,0.0,0.61,1.2,25.1,26.6,59.4,0.1,0.57,11.73
50206,Csb,Naturally Ventilated,0.0,0.75,1.2,24.6,27.5,60.7,0.1,0.8,18.47
50209,Csb,Naturally Ventilated,1.0,0.66,1.3,25.5,26.7,61.5,0.1,0.84,19.95
50210,Csb,Naturally Ventilated,1.0,0.68,1.3,25.4,26.8,59.4,0.0,0.89,21.77
50260,Cfb,Naturally Ventilated,0.0,0.61,1.2,24.6,25.5,36.6,0.1,0.19,5.74
50262,Cfb,Naturally Ventilated,-1.0,1.07,1.2,22.0,21.1,43.2,0.2,-0.09,5.16
50267,Cfb,Naturally Ventilated,0.0,0.66,1.3,24.5,24.8,39.2,0.1,0.34,7.45
50269,Cfb,Naturally Ventilated,2.0,0.53,1.2,25.1,25.2,36.3,0.1,0.08,5.15
50270,Cfb,Naturally Ventilated,-2.0,0.86,1.3,22.4,22.0,41.6,0.1,0.08,5.14
50274,Cfb,Naturally Ventilated,0.0,0.89,1.2,23.8,24.4,37.9,0.0,0.39,8.17
50276,Cfb,Naturally Ventilated,1.0,0.64,1.2,24.6,24.7,37.1,0.1,0.14,5.38
50279,Cfb,Naturally Ventilated,1.0,0.94,1.2,25.2,25.5,37.4,0.1,0.69,14.94
50281,Cfb,Naturally Ventilated,-2.0,0.81,1.2,24.7,25.6,37.7,0.3,0.21,5.89
50282,Cfb,Naturally Ventilated,1.0,0.77,1.3,25.4,26.5,41.3,0.1,0.79,18.15
50286,Cfb,Naturally Ventilated,0.0,0.74,1.2,24.6,25.5,38.6,0.0,0.43,8.9
50295,Cfb,Naturally Ventilated,0.0,0.74,1.0,25.4,25.2,35.8,0.1,0.06,5.09
50297,Cfb,Naturally Ventilated,0.0,0.69,1.3,24.1,26.8,40.0,0.0,0.59,12.39
