TSV,Clo,Met,Ta,Tr,RH,Vel
1,0.28,1,30.8,30.8,23.5,0.5
1,0.27,1,29.2,29.2,38,0.41
1,0.37,1,29.7,29.7,26,0.27
0,0.36,1,29.7,29.7,24.2,0.46
0,0.27,1,29.2,29.2,24.9,0.3
2,0.38,1,28.4,28.4,26.4,0.41
0,0.36,1,28.7,28.7,28.8,0.26
1,0.54,1,30.4,30.4,25.8,0.48
-1,0.38,1,30.1,30.1,20.3,0.43
0,0.48,1,30.9,30.9,21.2,0.38
2,0.23,1,31.2,31.2,16.1,0.33
0,0.27,1,30.6,30.6,18.4,0.4
1,0.04,1,31,31,21.8,0.45
2,0.36,1,31.5,31.5,21.7,0.36
3,0.27,1,33.9,33.9,17.6,0.47
2,0.27,1,32.4,32.4,17.2,0.32
0,0.76,1,19.1,19.1,53.5,0.06
-2,0.9,1,21.7,21.7,47.7,0.06
0,0.49,1,20.9,20.9,54.2,0.12
0,0.84,1,19.2,19.2,56.6,0.12
-1,0.78,1,19,19,55.1,0.15
-2,1,1,18.1,18.1,58.5,0.16
-1,0.67,1,18.1,18.1,58.5,0.16
-2,0.74,1,19,19,52.9,0.1
1,0.65,1,21,21,47,0.11
-3,0.4,1,19.4,19.4,53.7,0.12
1,0.56,1,18.7,18.7,54.8,0.13
0,0.84,1,20,20,53,0.12
-1,0.56,1,19.3,19.3,51.4,0.2
-1,0.62,1,20,20,50.2,0.11
-3,1,1,18.4,18.4,53.5,0.24
-1,0.73,1,19.8,19.8,51.5,0.24
-3,0.73,1,19,19,58.2,0.28
-1,1.1,1,18.9,18.9,52,0.24
-3,1.1,1,18.1,18.1,66.2,0.23
-1,0.96,1,19,19,61.4,0.23
-1,0.79,1,18.3,18.3,61.9,0.23
1,0.78,1,18,18,60.5,0.28
-1,1.17,1,17.5,17.5,61.3,0.22
-2,0.82,1,16.4,16.4,65.4,0.3
-1,1.02,1,18.3,18.3,37.3,0.23
-1,0.73,1,17.8,17.8,38,0.29
-1,0.79,1,17.6,17.6,40.6,0.23
1,0.79,1,18.5,18.5,33.4,0.34
-2,1.01,1,17.9,17.9,31.2,0.25
-1,0.52,1.2,21.5,21.5,31.3,0.31
-2,0.86,1.2,17.6,17.6,43.5,0.24
2,1.1,1.2,20,20,33.7,0.28
0,0.79,1.2,19.7,19.7,35.4,0.23
0,1.14,1.2,18.1,18.1,39.7,0.24
-1,0.61,1.2,17.5,17.5,36.2,0.23
0,0.79,1,16.8,16.8,36.6,0.24
-1,0.79,1,18.5,18.5,25.8,0.38
-3,0.75,1,18.9,18.9,37.4,0.22
-1,0.73,1,19,19,34.6,0.24
-1,0.86,1,18.3,18.3,36.8,0.3
-2,0.79,1,17.4,17.4,39.4,0.24
-1,0.8,1,17.4,17.4,41.1,0.23
-1,0.79,1,19.2,19.2,34.8,0.23
-1,0.65,1,21.3,21.3,27,0.24
